x,e,t,hr
-0.23578161,1,5.629621,-0.29045305
0.47984543,1,6.7632613,0.06699129
-0.839987,1,1.0185816,-0.4570247
-0.97452486,1,0.3713462,-0.4394144
0.036485437,1,0.5171656,0.8436651
-0.34752882,1,1.6272867,0.68345875
-0.07328447,1,2.0317817,-0.24323222
-0.83621114,1,0.59544724,-0.1803599
0.29994258,1,1.3853344,0.5279746
0.29159683,1,4.3387704,-0.09330114
-0.24045427,1,4.8808923,0.09694764
-0.701876,0,15.0,0.01855895
0.39611736,1,1.8330979,-0.41846168
-0.016896378,1,1.5839936,-0.17513266
-0.83184755,1,3.7519524,-0.45888126
-0.670004,0,15.0,-0.28078473
-0.46063346,1,1.2563255,0.4452785
-0.6246121,1,2.8580048,0.12876135
0.5847337,1,5.4624896,-0.42591906
0.43869156,1,1.2443857,0.38571274
-0.77168304,1,3.3356812,-0.1372976
0.3472522,1,6.4338355,-0.22462162
0.22402674,1,0.47456235,0.0061148116
0.5371485,1,0.91838706,-0.2440161
-0.9611858,1,7.3032856,-0.54126316
-0.86292684,1,14.376016,-0.3946749
0.42019948,1,7.819698,0.16616984
0.63891125,1,7.8676214,0.13346006
-0.98441404,1,6.946019,-0.5334171
0.71667886,1,4.162993,-0.060363
0.50787544,1,1.109395,0.19044638
0.6881218,1,1.9051126,-0.19939923
-0.15831965,1,5.672566,0.78653073
0.5277132,1,0.123483665,0.27611282
0.22154865,1,3.6473591,0.38530466
-0.422773,1,1.2425742,0.52510864
0.721087,1,0.23026265,-0.37469178
-0.639895,1,2.369692,0.035075836
-0.70637447,1,0.29098037,-0.0030581101
-0.094947696,1,1.4737043,0.82590294
-0.9567947,1,8.772699,-0.45775935
0.21280251,1,1.7752528,-0.2185926
0.9450344,1,7.15388,-0.39782616
-0.5834732,1,10.914423,-0.39785734
0.9644334,0,15.0,-0.48896864
0.8841123,1,1.9895092,-0.4541476
-0.28717357,1,11.004479,-0.34923556
0.83129,1,5.9344964,-0.47994763
0.6093998,1,0.51894784,-0.3898445
0.5656427,1,0.19022715,0.24812454
-0.8330418,1,0.8645467,-0.4081337
0.2247567,1,1.9690883,0.8603798
-0.8941213,1,12.085731,-0.420225
0.40525404,1,0.56856555,-0.4112359
-0.51067513,1,1.0528954,-0.22597891
0.09828698,1,7.593931,0.42951235
0.26649186,1,1.1662409,-0.3370711
-0.07913596,1,6.1471586,-0.14885151
-0.61224973,1,8.502355,-0.22662118
-0.21509957,1,1.6736219,0.3808529
-0.45938137,1,1.2815821,-0.27925742
0.6421617,1,10.704671,-0.45765656
-0.74063355,1,5.487687,-0.44713226
0.583699,1,5.5099354,-0.1095555
0.4762998,1,1.7285631,0.30395427
-0.5672634,1,2.051007,0.13287543
0.99894834,0,15.0,-0.43141267
-0.053500194,1,3.937853,-0.057388414
-0.18735993,1,3.5211294,0.6240665
-0.080565676,0,15.0,-0.084445715
0.66181535,1,2.3320756,-0.41493785
-0.5226305,1,2.7956593,0.3482897
-0.59212697,1,0.5174504,0.19998722
0.73119384,1,5.8007946,-0.25565886
0.9027242,1,11.210122,-0.42321596
0.47493315,1,6.6104026,0.4249179
-0.32362416,1,3.084195,-0.28478545
0.9846182,1,0.15037411,-0.3985426
0.49924022,1,10.207163,-0.38134035
0.7389526,1,4.94639,-0.2637397
0.6491309,1,1.9128646,0.055661518
-0.21988416,1,0.3632085,0.20170757
0.2756383,1,0.14953724,-0.18630275
-0.75146407,1,12.361963,-0.08713191
-0.3261103,1,0.04170896,0.11379794
-0.5256627,1,0.11238001,-0.36332342
-0.6731033,1,1.260158,-0.1693586
-0.80422395,1,3.8112104,-0.43712923
-0.860672,1,4.256842,-0.37458336
0.2217407,1,9.858735,0.19524537
-0.70571077,1,11.950123,-0.34258994
-0.059405826,1,2.558728,-0.26008168
-0.67634135,1,3.2611482,-0.14005974
-0.3439159,1,7.289125,0.6422176
0.85550916,1,3.1858473,-0.22087263
0.051283635,1,5.119045,0.37066373
-0.19999383,1,2.6870375,-0.15296672
-0.9439128,1,1.7060469,-0.3347427
0.9567836,0,15.0,-0.33517018
0.3366685,1,9.064974,0.2564801
0.2290711,1,3.2162545,-0.36422202
-0.5202279,1,14.753605,0.35786036
0.22135095,1,5.01177,-0.19082716
-0.17382187,1,3.0220566,0.51443344
-0.78350586,1,1.5941827,-0.2028608
-0.20890424,1,4.294546,0.31400084
0.43115863,1,1.467031,-0.017195927
-0.15396805,1,5.1699104,0.8228551
-0.6767654,1,3.9644744,-0.07505618
0.87322927,1,1.9947894,-0.42839217
0.1350646,1,2.3346002,-0.1913722
-0.2547883,1,3.4648545,-0.05272496
0.6438859,1,4.1312747,-0.10582623
-0.8373473,1,5.39973,-0.32800102
0.620966,1,0.0644468,0.028973598
-0.73628587,1,8.181209,-0.48668852
0.86919045,1,4.005688,-0.46488518
0.27244562,1,1.1445373,-0.3806188
-0.18464857,1,11.832393,0.90869594
-0.005582968,1,2.490686,1.0304363
-0.4513762,1,0.1126378,-0.22104263
0.13006955,1,0.21702322,0.9779635
-0.066043966,1,6.936735,0.28689384
-0.3464133,1,0.035198323,-0.39221504
0.5866433,1,5.5635686,0.0047006146
0.429135,1,7.300369,0.5357538
0.021034911,1,2.6347694,0.74613684
-0.65626925,1,5.5176997,-0.27805868
-0.6657789,1,6.2390766,-0.34719074
-0.34626526,1,0.18806273,0.32844728
0.8912078,1,13.850396,-0.51570886
-0.72980875,1,0.63928056,-0.48300755
-0.30030394,1,1.605279,0.46960518
-0.9679848,1,1.6304712,-0.42442423
-0.3805747,1,3.912733,0.6110921
-0.8742932,1,2.7207775,-0.50941604
-0.0709736,1,3.5085359,0.49043542
-0.7482049,1,3.5215485,-0.31930152
-0.87461495,0,15.0,-0.44053048
0.054151013,1,1.2111425,-0.008795636
-0.30565915,1,11.107703,-0.31263527
-0.6441215,1,3.3104231,-0.069111556
0.52768487,1,1.0286269,-0.36665785
-0.4473267,1,1.8476291,-0.32036516
-0.60951006,1,6.2577167,0.18275245
-0.1810755,1,3.230676,0.6250838
-0.9378458,1,2.4078376,-0.38530135
0.30706105,1,2.0725398,-0.36415118
0.62662375,1,7.3512106,-0.22780445
0.9443095,1,7.0693464,-0.41725785
0.37474534,1,1.4896762,0.62305254
0.8707626,1,1.8800721,-0.27463278
0.13343936,1,7.6213193,0.35044962
0.30980155,1,1.0733223,0.65455186
0.18002233,1,0.69967896,-0.3555724
-0.80657953,0,15.0,-0.24142398
0.28746814,1,0.6133097,0.7841319
-0.84518886,1,6.97482,-0.37379748
-0.7404253,1,3.8001833,-0.39164567
0.76890045,1,2.3963218,-0.23499559
0.4609133,1,0.8386813,-0.3520106
0.8142718,1,0.9076733,-0.17907357
-0.45586646,1,2.3062947,-0.42786258
0.5062152,1,11.44769,0.33482215
-0.9104025,1,4.7709255,-0.4112288
0.09338496,1,4.3396683,-0.35393238
0.109301634,1,8.887515,-0.04276089
-0.21617213,1,10.020855,0.013438061
0.5893116,1,6.1652308,-0.2727053
0.5065497,1,1.4361118,-0.088687375
-0.70070195,1,5.3171964,-0.24479222
0.59897095,1,0.94011277,-0.345183
0.66458184,1,1.0987155,-0.19247188
-0.8418283,1,1.6870865,-0.19319631
0.8722485,1,9.816317,-0.35580176
-0.76638925,1,5.371785,-0.1143147
0.13563958,1,3.121953,0.9632926
-0.8111363,0,15.0,-0.33665234
0.9591894,0,15.0,-0.32310146
-0.55930537,1,2.1398096,-0.04280954
-0.631321,1,0.14839448,0.14335662
0.91400325,1,2.243553,-0.48741585
0.90210235,1,6.8709316,-0.2944705
0.890976,1,3.9133184,-0.26073143
0.947141,1,4.638945,-0.527735
0.28118312,1,0.6173233,0.0767386
-0.32341233,1,2.466709,-0.27068105
0.006718999,1,7.2490892,-0.048064407
-0.059919525,1,5.9539967,0.08530224
0.88149023,1,0.16947816,-0.25065514
-0.863791,1,1.4903328,-0.44741657
-0.24331382,1,1.9463056,-0.011964611
-0.0822032,1,0.7504838,0.9616682
0.91096467,1,1.3886219,-0.46832392
-0.31995454,1,2.972998,0.71333945
0.8149617,1,0.9335286,-0.32887664
0.5107309,1,2.9355793,0.31792632
-0.022126418,1,0.08356036,0.9875027
0.14337784,1,6.2952094,0.5291081
-0.44696185,1,0.29185298,-0.26371607
-0.7365419,0,15.0,-0.16608953
0.5425028,1,10.559633,-0.07171528
0.10130994,1,0.36198905,0.07483562
-0.24020316,0,15.0,-0.25718707
-0.9741377,1,1.8913451,-0.5351186
0.8395578,1,7.2344275,-0.30059174
-0.5457429,1,2.941001,0.3090317
0.93885225,1,1.2119552,-0.391481
0.53948975,1,1.1814686,-0.26742885
-0.8485299,1,6.6447344,-0.22774151
-0.62713665,1,4.27416,-0.47496122
-0.3264216,1,12.580763,-0.04291632
-0.8678274,1,5.853023,-0.46710214
-0.16464357,1,0.9623397,-0.33017012
-0.33938304,0,15.0,-0.36959264
0.74576557,1,13.343909,-0.22944412
-0.59252584,1,0.38326454,0.20334178
0.36955902,1,2.1467192,-0.035062265
0.7654198,1,2.3342292,-0.36244175
-0.11778479,1,11.641453,0.19894396
-0.2236641,1,3.8368206,0.7520335
-0.20848878,1,1.7447023,0.17836656
-0.2541092,0,15.0,-0.09077239
-0.69145364,1,1.4744444,-0.09017541
0.80925083,1,8.658609,-0.1559598
0.5264402,1,12.999509,0.05035807
0.50630474,1,3.826242,0.38597313
-0.40050387,1,0.8641981,0.12922354
-0.25160918,1,4.541429,0.7748693
-0.8923405,1,7.983735,-0.33571574
0.30435768,1,1.2485534,-0.34890884
0.97719777,1,2.0922046,-0.49141145
-0.11191383,1,1.9549471,0.97505635
-0.21137825,1,0.21483232,0.8742393
-0.48083118,1,0.4662014,-0.35423785
0.66626865,1,1.0663906,-0.19572626
0.5563555,1,4.1017976,-0.36807004
-0.08813949,1,14.070124,0.16590212
0.07246367,1,0.34953827,0.009106715
0.7625556,1,1.0290029,-0.3485587
0.834042,1,0.23998319,-0.2589777
0.6531157,1,1.8090211,-0.11131518
0.6930838,1,1.6436839,0.005247387
-0.8755152,0,15.0,-0.28512326
0.5971018,1,5.776508,-0.26176816
0.113501936,1,9.084414,-0.27066758
0.5311807,1,0.34732664,-0.16678315
0.22266136,1,3.1882322,-0.36940485
-0.26769972,1,0.74404657,-0.23926277
0.6513028,1,3.1605268,0.11108291
-0.13697964,1,0.82629544,0.84227496
0.31919903,1,3.1390715,0.6637058
0.11660752,1,3.5653405,-0.31530517
0.79324037,1,2.9698539,-0.1794234
-0.7630049,1,3.4567685,-0.49551865
-0.07836169,0,15.0,0.77453405
-0.7226864,1,0.8103883,-0.43258446
0.64564556,1,5.6742964,0.121414885
0.47836757,1,3.5591562,0.065752715
-0.3472399,1,14.2693205,-0.34848005
-0.3114855,1,5.6573043,0.3789335
0.38574594,1,0.5326463,0.35282382
0.34515452,1,1.9504638,0.10951706
-0.26362386,1,3.7528918,0.67361975
-0.92901975,1,0.20426494,-0.4271282
-0.19966769,1,8.601444,0.33241594
0.32342386,1,3.3259451,-0.36508706
-0.34764418,1,4.006559,0.572497
0.8242325,1,2.0949526,-0.4902287
0.48754165,1,1.2831303,0.37026304
-0.07383906,1,6.831604,0.115482375
0.0302853,1,14.05157,-0.24947093
0.27317038,1,2.951255,-0.26934993
0.08694327,1,0.4868761,0.381529
-0.36396232,1,14.4840555,-0.40297228
0.18431146,1,2.5822268,0.92096364
-0.3953954,1,3.1110327,0.13082549
-0.776061,1,12.070069,-0.09644937
-0.5010487,1,7.424521,-0.2625417
-0.20337085,1,5.182444,0.27313066
0.21424958,1,8.999293,0.032170475
0.538925,1,1.4460547,0.31891313
-0.9981725,0,15.0,-0.41295874
0.30797213,1,2.8790474,-0.38505033
-0.7674725,1,3.9729156,-0.35452777
-0.91249794,1,4.5522585,-0.4203069
0.32742092,1,4.568679,0.40124977
0.1586618,1,5.7402973,-0.047417536
0.7569901,1,7.473721,-0.2870988
0.81242937,1,2.3747706,-0.5021636
0.25613448,1,5.0463967,0.7945004
0.028100895,1,0.79922545,0.58729684
0.89711434,1,0.94230586,-0.39744136
0.97552365,1,9.695203,-0.47510234
-0.811434,1,1.8497701,-0.17922239
-0.8961464,1,9.777078,-0.52979505
-0.016733367,1,0.44239125,0.44156846
-0.17790239,1,3.5873914,-0.2664412
0.18308283,1,0.57868826,0.9129333
0.09454644,1,6.4473777,-0.16379805
-0.022301039,1,0.5832595,0.5106847
-0.57327974,1,3.9528177,-0.45855013
0.07100119,1,3.689684,0.9994597
-0.7664197,1,3.486395,-0.4680232
-0.091591686,0,15.0,0.99300873
0.043785386,0,15.0,0.42778194
-0.22925897,1,0.86154383,0.25173303
-0.6820053,1,0.14800847,-0.46832728
0.36036512,1,1.0168096,-0.34667128
0.46613535,0,15.0,-0.101375185
0.51292354,1,2.6160476,0.22508079
0.4529212,1,5.657383,-0.42697126
0.18537766,1,13.279897,-0.0010516307
0.8940944,1,5.966325,-0.4236084
-0.59882545,1,0.9275573,-0.040391322
-0.7818566,1,3.506606,-0.43196633
0.59456617,1,1.2666067,0.20302972
0.32432517,1,0.24391043,0.7231296
0.74918914,1,4.0432425,-0.15481009
0.84398305,1,13.227978,-0.19062428
-0.41856706,1,1.1460235,-0.16486575
0.53112084,1,6.5215297,-0.07767638
0.8902974,1,10.368702,-0.35978338
0.4030885,1,2.0489295,0.35541713
-0.77522826,1,4.4217997,-0.36657688
-0.90066457,1,1.0176097,-0.5036533
0.10079509,1,0.454358,0.9253604
-0.78937364,1,1.6402359,-0.39043024
0.034081906,1,1.0660229,0.31371853
-0.30791762,1,2.3500519,0.7532122
0.86826485,1,2.5536573,-0.3534331
0.6830461,1,14.654699,-0.18870862
0.51983,1,1.5469779,0.3597178
-0.44771054,1,0.44851056,0.4982194
0.7028438,1,13.431223,-0.13219371
0.124466,1,0.41673,-0.034314953
-0.8038841,1,7.4825163,-0.1677384
-0.04784737,1,1.9157996,0.9420936
0.79168004,1,1.1215732,-0.36384827
0.4675476,1,2.5592163,-0.16179201
-0.80865866,1,5.463928,-0.23687832
0.59484833,1,13.58507,-0.38658974
0.5843274,1,6.9546394,-0.43753445
-0.82464516,1,1.4038262,-0.3265697
0.10746318,1,4.1228523,0.79572934
-0.08394834,1,9.806729,0.51757044
-0.72955453,1,3.9189947,-0.49696678
0.53219396,0,15.0,0.28289872
-0.50681376,1,1.138549,0.3748068
-0.85463816,1,8.1178255,-0.23538756
-0.48712885,1,1.5237057,0.33439198
0.13661064,0,15.0,-0.35713133
-0.56146497,1,9.989782,-0.41063833
-0.95817316,1,4.753385,-0.4149677
-0.4893334,1,1.6808403,0.07156959
-0.47678146,1,3.2106893,-0.14979808
0.6292234,1,3.9689932,0.1403473
0.534797,1,10.99499,-0.45161864
0.33990723,1,4.567515,-0.09344252
-0.43482608,1,0.6503187,-0.06789919
0.87594026,1,3.7184644,-0.5028491
0.8967938,1,5.9387116,-0.26924303
0.8999324,1,5.44438,-0.2595696
-0.87111396,1,8.001801,-0.39206776
-0.30050766,1,5.077954,-0.30187893
0.5247671,1,0.44007897,0.27609065
0.8839842,1,8.80341,-0.2717825
-0.46956906,0,15.0,0.06656873
0.98451287,1,4.6082635,-0.34619024
-0.49675065,1,4.7649655,0.18341878
-0.16395228,1,0.93003243,-0.23949626
-0.08965803,1,0.20627975,0.20541623
0.14636387,1,5.0222735,0.7450846
-0.54964757,1,6.718735,0.29180416
0.7179245,1,12.430328,-0.12506971
-0.38311037,1,7.3563237,0.5562704
-0.5023446,1,1.5419253,-0.3062689
0.8772529,1,11.5127125,-0.48264298
-0.064510465,1,5.797002,-0.32183924
-0.10633976,1,4.008005,0.95144695
0.40938684,1,11.2664385,0.11922664
0.5893427,1,0.3480216,0.22226809
-0.30690742,1,0.15247013,0.34479785
-0.4132981,1,2.3431423,0.29684338
-0.8785645,1,6.04401,-0.5216124
0.46950912,1,3.3905394,-0.09548891
0.30475557,1,1.2963018,-0.3763236
-0.79816276,1,2.8947155,-0.1848469
-0.1802868,1,0.1195553,-0.014640099
-0.88985,1,5.198132,-0.34731793
-0.6986756,1,1.6078908,-0.038390987
0.1274774,1,0.08536752,0.95786214
-0.271943,1,7.258643,-0.2097553
0.3722151,1,1.9177523,-0.03393177
0.3354072,0,15.0,-0.3268858
-0.36630574,0,15.0,-0.14739975
-0.8380141,1,1.1810522,-0.5091651
0.299732,1,7.0288677,0.52615964
0.45830846,1,1.8394635,-0.41404435
0.37172395,1,0.05437054,-0.056394696
0.80048823,1,7.6587286,-0.31836972
-0.119137585,1,1.4455825,0.2697186
-0.11669529,1,0.04605572,0.96677434
0.7877993,1,0.346896,-0.13109457
-0.8768754,1,8.197051,-0.23888288
-0.27975816,1,9.031824,-0.07849543
-0.011332725,1,8.37151,-0.30976638
0.08261076,1,0.17055032,0.28987685
0.18199618,0,15.0,0.056567103
0.9177198,1,2.9268773,-0.5122131
-0.29739878,1,7.2620697,0.5816119
0.917393,1,4.119643,-0.31180212
0.18923031,1,1.3911506,0.856088
0.3357208,0,15.0,-0.374382
0.22358157,1,8.202357,0.03867552
0.81741977,1,0.55870473,-0.41671243
-0.9193149,1,2.5995488,-0.364035
-0.2863935,1,1.6236393,0.3703598
-0.0766129,1,0.060166217,0.5231737
-0.54266787,1,4.0747204,0.31301662
0.08935788,1,2.1850271,0.019777413
-0.31551084,1,5.7033343,-0.04397169
0.80532426,1,2.55304,-0.14657734
0.60513324,1,6.3769536,0.06846699
0.114810586,1,5.68095,0.6988208
-0.42055142,1,11.617933,0.4689901
0.64415437,1,8.290665,-0.15210566
0.7373861,1,7.8901043,-0.31301656
0.52875376,1,2.6070256,-0.14673978
0.42258006,1,0.6939625,0.39430282
-0.14810903,1,8.747986,0.20805085
0.94935966,1,3.4991233,-0.43159616
0.66046506,0,15.0,0.094818704
-0.5950236,1,2.861272,-0.28879088
0.1404755,1,1.8374218,0.89065456
0.47573397,1,0.28885913,-0.3976785
-0.77733064,1,5.265241,-0.102140404
0.19298622,1,7.5892506,0.4988296
-0.50233483,1,11.604669,0.19663228
-0.3329063,1,5.4826775,0.70687467
0.23139325,1,2.8536057,0.355225
-0.5170188,1,5.549034,-0.18759477
0.9098987,1,0.5332123,-0.31547964
0.7316005,1,4.9396906,-0.495148
0.43472525,1,1.4660988,0.17951097
-0.2840452,1,8.905911,0.49364835
0.14086355,1,1.2721972,0.08875599
0.74485475,1,0.2121105,-0.48480967
0.8310622,1,1.3537312,-0.43164718
-0.63763547,1,0.27575192,-0.0215278
0.17880416,1,2.0865715,0.41941315
-0.09538767,1,0.09803357,0.39477563
-0.86461455,1,4.783027,-0.31958878
-0.2682144,0,15.0,-0.17493859
-0.8784474,1,10.827211,-0.23592083
0.50696963,1,1.3497211,-0.27430493
0.94292057,0,15.0,-0.48027632
0.61430293,1,0.6893964,-0.43531767
-0.38582948,1,8.974865,0.43065274
-0.06642125,1,2.2406654,0.61755615
0.12949188,1,0.37867144,0.9591892
0.6679012,1,6.7538958,0.06435512
-0.17605948,1,2.0293636,0.28901136
0.87790877,1,7.4293785,-0.3065333
0.49397504,1,0.36533028,0.3788116
-0.88209194,1,2.9119911,-0.25705868
0.2606009,1,4.069803,-0.3084558
-0.30417347,1,0.36897063,0.7167752
0.56779176,1,2.4912136,0.115306534
-0.5651672,1,8.558047,-0.09051807
-0.19854209,1,2.5906453,0.57500607
0.76686794,1,5.4373407,-0.39877042
-0.9796929,1,8.155075,-0.40631536
-0.9451894,1,2.4681787,-0.40148956
0.95002615,1,2.7245157,-0.31465787
0.7703425,1,6.070208,-0.38991424
0.35637727,1,4.089998,-0.3663824
0.8602838,1,0.17838094,-0.37895742
-0.79146165,1,0.84640336,-0.43810454
0.7885648,0,15.0,-0.2837706
0.94664997,1,2.935997,-0.3947985
-0.9441319,1,3.0580618,-0.49814627
-0.24000317,1,0.17385972,-0.2998231
0.3360186,1,4.0505857,0.22016925
-0.71555036,1,2.9089465,-0.2826067
0.16369261,1,9.22236,0.9010721
-0.7357666,1,1.2941927,-0.034722313
-0.46583,1,10.862505,0.3637126
0.7568701,1,1.0346644,-0.4054912
0.7001428,1,0.106115974,-0.2627016
0.6304865,1,3.4452024,-0.45825145
0.5642762,0,15.0,-0.16113305
-0.8784585,1,4.6068664,-0.4352148
0.7136748,1,4.4359407,-0.22619836
0.08463639,1,1.4703878,-0.004423163
-0.58728606,0,15.0,-0.20159332
0.63761073,1,9.957336,0.10225325
0.71069854,1,12.282062,-0.45468777
-0.6248879,1,8.82435,-0.36749524
-0.13516843,1,6.136432,0.3913165
-0.44481477,1,5.4058166,-0.121612564
-0.37870643,1,6.5484385,-0.37853944
0.820262,1,11.75314,-0.4554404
0.3514848,1,13.046984,-0.37144017
0.051508434,1,2.3481364,-0.31253645
0.26998198,1,2.8267605,0.57337314
0.6564258,1,3.232236,-0.1793642
-0.9140661,1,0.59180504,-0.3717659
-0.4754772,1,2.9708605,-0.050891757
0.7970919,1,1.706245,-0.37646538
-0.9762777,1,9.767881,-0.35450083
0.4521632,1,6.076799,0.20449273
0.6546888,1,6.6672764,-0.18129611
-0.27280465,1,1.8042631,-0.3850852
0.9417747,1,5.9335,-0.30616295
0.5091281,1,3.1567166,0.048855215
-0.34479272,1,2.5733132,-0.3143941
0.30104202,1,6.8749657,-0.28635234
0.7359207,1,2.5328944,-0.04493114
0.09429273,1,13.719136,0.16900612
-0.18129006,1,2.0506053,-0.0530943
-0.6123226,1,1.874806,-0.44415122
-0.6477776,1,2.601041,-0.16540225
0.87069666,1,8.209276,-0.44476864
-0.86705935,1,11.612648,-0.2849629
-0.8846095,1,11.490281,-0.4811118
-0.8620033,1,8.308563,-0.5191716
-0.9024832,1,0.45560983,-0.53164744
0.3554983,1,8.552992,0.6709954
0.33531025,1,5.922926,0.5136271
0.31604564,1,10.749504,0.11358295
0.6122639,1,1.0554909,0.09112993
0.9209569,1,4.1910324,-0.40371892
-0.33643293,1,0.8458964,0.12026653
-0.730892,1,2.184971,-0.03716221
-0.43317467,1,2.4857602,0.30348796
0.08693078,1,2.0891013,0.5863934
0.25215822,1,12.480906,0.22076535
-0.54181,1,8.21641,0.29293713
0.61445683,1,0.57146764,-0.057449263
0.3894437,1,8.30717,0.024616944
-0.42541113,1,0.90511966,0.3725462
-0.41705376,1,9.5769615,0.041655798
-0.6948533,1,0.21336287,-0.42689306
-0.31584266,1,2.4448543,-0.17409323
-0.7716805,1,1.7682728,-0.4164387
0.793902,1,1.6472548,-0.26402614
-0.5059376,1,3.9914165,0.38543093
-0.72009456,1,2.0357788,-0.44899502
-0.22562498,1,0.81800026,-0.23020543
-0.1639096,1,0.037972808,-0.36169556
-0.5014782,1,2.3001115,0.38817626
-0.77186435,1,6.44211,-0.3771359
-0.14341843,1,2.7997346,0.85413045
0.66223425,1,12.069319,-0.42785993
0.4274987,1,2.4423332,0.50367606
-0.27296987,1,12.109005,0.74580157
-0.89831483,1,4.918312,-0.47157854
-0.48286235,0,15.0,-0.06335179
0.38728398,1,0.22402368,0.25095677
-0.44095942,1,4.0550694,0.12213474
-0.65904945,1,3.7383096,0.06604137
-0.12222323,1,8.505394,-0.18791915
-0.977432,1,4.515159,-0.47249877
-0.9617272,1,1.7861109,-0.33202985
-0.8222774,1,3.3196926,-0.22069745
0.6411265,1,11.557978,-0.34419584
-0.120119035,1,5.0350103,0.049284995
-0.84700847,1,4.565321,-0.20381147
0.6978751,1,0.29847303,-0.045023784
-0.3035512,1,0.2462091,0.3332013
0.27499074,1,5.7437305,0.5270824
-0.28634617,1,0.85386443,0.76220745
-0.24860193,1,3.607073,0.6431005
-0.33061346,1,4.100776,0.66059554
-0.37223828,1,13.861324,-0.33827037
0.08730758,1,6.201162,0.14599968
0.13836624,1,7.5435567,0.6739837
-0.74569225,1,2.3869696,-0.1404896
-0.7631153,1,0.576607,-0.36772016
-0.273829,1,3.5146058,-0.34807006
-0.95959616,1,1.19385,-0.32327425
0.8543223,1,3.1551063,-0.5174111
-0.69084394,1,1.3163638,-0.46774125
0.17124298,1,1.0978843,-0.09235581
